tract,prostitution,theft,liquor_law_violation,burglary,public_peace_violation,homicide,battery,arson,narcotics,gambling,offense_involving_children,assault,motor_vehicle_theft,intimidation,public_indecency,weapons_violation,robbery,kidnapping,interference_with_public_officer,crim_sexual_assault,criminal_trespass,criminal_damage,sex_offense,stalking,deceptive_practice,obscenity
17031351500,-0.242676907,1.988807576,-0.603721657,3.448379877,1.597873539,-0.537412997,0.71903591,-0.522794606,-0.464518642,4.433883611,3.176175578,0.942291085,1.072566738,-0.284556406,-0.133796304,-0.757496722,1.622330538,14.82056285,-0.652269171,-0.776352804,1.074802505,2.233803764,-0.764085418,-0.384012511,0.20076687,-0.152108981
17031040100,-0.242676907,-0.420699638,0.797334144,-1.047834312,-0.601475085,-0.537412997,-0.688521946,0.19219901,-0.470827571,-0.393732288,-0.873152565,-0.81556463,-0.64906965,-0.284556406,-0.133796304,-0.532367001,-0.84356534,0.579403751,-0.652269171,-0.776352804,-0.252540634,-0.997807838,-0.764085418,-0.384012511,-0.262017738,-0.152108981
17031081900,-0.242676907,-0.111885163,-0.603721657,-1.290806402,0.386201661,1.774583241,0.742141229,-0.522794606,1.242890496,-0.393732288,0.107453965,-0.219259575,-1.050349214,-0.284556406,-0.133796304,0.520483246,-0.497432293,3.29029616,-0.652269171,-0.776352804,11.47985536,-0.463177899,-0.764085418,-0.384012511,-0.03454302,-0.152108981
17031400400,1.994780895,-0.039597233,-0.603721657,2.545324598,2.006518102,3.198441795,1.532191439,-0.522794606,0.792535595,0.235956742,0.711367143,1.884478655,1.512850455,-0.284556406,-0.133796304,1.766432003,1.312631962,1.590345105,-0.652269171,-0.776352804,0.396405377,1.900688145,-0.764085418,-0.384012511,-0.240009809,-0.152108981
17031700502,-0.242676907,-0.688408534,-0.603721657,-0.566473504,-0.159762452,-0.537412997,-0.781834623,-0.522794606,-0.568859112,-0.393732288,-0.192929459,-0.692593583,-0.750274556,1.191149952,-0.133796304,-0.314244777,-0.75031889,0.883731203,-0.652269171,-0.776352804,-0.398141563,-0.810502865,-0.764085418,-0.384012511,-0.170180883,-0.152108981
17031020602,-0.189630217,-0.342235971,-0.603721657,-0.29015637,-0.751832699,-0.537412997,-0.751481964,0.13371451,-0.52932645,-0.393732288,-0.635231211,-0.540561295,-0.814490284,-0.284556406,-0.133796304,-0.757496722,-0.587401893,-0.394187556,-0.363671879,-0.776352804,-0.363274356,-0.621664857,-0.764085418,-0.384012511,-0.115268456,-0.152108981
17031050900,-0.242676907,-0.617640702,-0.603721657,-0.094871904,-0.751832699,-0.537412997,-0.949861791,-0.522794606,-0.564039201,-0.393732288,-0.873152565,-0.88877854,-0.840261851,-0.284556406,-0.133796304,-0.757496722,-0.493035626,-0.394187556,0.248170978,-0.776352804,-0.390164636,-1.440965218,-0.764085418,-0.384012511,-0.231593914,-0.152108981
17031063302,-0.242676907,-0.642627489,0.094877862,-0.698061207,-0.751832699,-0.537412997,-0.974827413,-0.522794606,-0.621650421,-0.393732288,-0.873152565,-1.009232767,-1.351362595,-0.284556406,-0.133796304,-0.757496722,-0.885230271,-0.394187556,-0.338827668,-0.776352804,-0.352751492,-1.352566007,-0.764085418,-0.384012511,-0.243357874,-0.152108981
17031150600,-0.242676907,-0.641971592,-0.603721657,-0.690354455,-0.60790402,-0.537412997,-0.665630435,0.846049766,-0.477276399,-0.393732288,-0.62511541,-0.857465127,-0.166795435,-0.284556406,-0.133796304,-0.757496722,-0.729885374,-0.394187556,0.250333937,-0.776352804,-0.389935604,-0.580195029,-0.764085418,-0.384012511,-0.285992687,-0.152108981
17031170400,-0.242676907,-0.684004907,-0.603721657,-0.5531886,-0.597007094,-0.537412997,-0.850738609,0.213445591,-0.559528555,-0.393732288,-0.60633637,-0.774691617,-0.736208645,-0.284556406,-0.133796304,-0.757496722,-0.839871362,-0.394187556,-0.328622596,-0.776352804,-0.314158643,-0.559303275,-0.764085418,-0.384012511,-0.218754846,-0.152108981
