tract,prostitution,other_offense,theft,liquor_law_violation,non_criminal,burglary,public_peace_violation,other_offense_,ritualism,homicide,battery,interfere_with_public_officer,offenses_involving_children,arson,narcotics,gambling,offense_involving_children,assault,motor_vehicle_theft,intimidation,public_indecency,weapons_violation,robbery,kidnapping,interference_with_public_officer,non_criminal__subject_specified_,crim_sexual_assault,criminal_trespass,domestic_violence,criminal_damage,sex_offense,stalking,other_narcotic_violation,deceptive_practice,obscenity
17031191100,1.753439439,7.013757756,9.711356892,0.269759914,0,5.53007823,0.539519827,0,0,0.404639871,16.45535473,0,0,0.539519827,8.09279741,0,0.404639871,4.855678446,7.68815754,0,0,0.944159698,2.292959266,0,1.079039655,0,0.404639871,0.539519827,0,12.13919612,0.134879957,0.134879957,0,1.618559482,0
17031200200,0,7.002026903,16.39948406,0.184263866,0,6.817763037,2.395430256,0,0,0,20.26902524,0,0,0.184263866,9.581721025,0,0.552791598,6.264971439,7.370554634,0,0,1.474110927,1.105583195,0,0.552791598,0,0.184263866,0.737055463,0,8.476137829,0.368527732,0.184263866,0,1.474110927,0
17031230500,0.56022409,9.243697479,30.53221289,0,0,7.282913165,1.400560224,0,0,0,25.77030812,0,0,1.120448179,17.08683473,0,1.680672269,9.243697479,13.44537815,0,0,1.960784314,7.56302521,0,1.680672269,0,0.280112045,3.921568627,0,10.08403361,0.56022409,0.56022409,0,5.042016807,0
17031242700,0,2.957121735,13.30704781,0,0,4.435682602,0,0,0,0,22.17841301,0,0,1.478560867,8.378511582,0,0.492853622,6.407097092,5.91424347,0,0,0.492853622,3.449975357,0,0.492853622,0,0.492853622,4.928536225,0,9.364218827,0.492853622,0.492853622,0,1.478560867,0
17031251900,0,19.01936835,30.53568313,0,0,12.38876287,3.489792357,0,0,0.697958471,73.2856395,0,0,0.348979236,53.39382307,3.140813122,1.919385797,20.76426453,8.375501658,0,0,3.315302739,13.61019019,0,1.395916943,0,1.046937707,7.32856395,0,26.17344268,0.523468854,0.174489618,0,4.8857093,0
17031280100,0,4.310344828,61.37110016,0,0,6.773399015,0.410509031,0,0,0,8.620689655,0,0,0,4.515599343,0,0.410509031,3.899835796,4.515599343,0,0,0.205254516,1.642036125,0,0.410509031,0,0.205254516,4.310344828,0,7.799671593,0.410509031,0.205254516,0,8.41543514,0
17031290900,2.428256071,13.24503311,33.33333333,0.220750552,0,14.34878587,1.986754967,0,0,0.662251656,65.56291391,0,0,0,55.18763797,2.649006623,1.545253863,15.67328918,9.713024283,0,0,4.415011038,9.713024283,0,0.220750552,0,1.103752759,0.662251656,0,26.26931567,0.662251656,0.220750552,0,3.53200883,0
17031291200,0,13.39285714,37.05357143,0,0,14.28571429,0.446428571,0,0,0.446428571,70.53571429,0,0,0,47.32142857,1.339285714,1.339285714,22.76785714,12.94642857,0,0,5.357142857,8.482142857,0,0.446428571,0,0.892857143,6.25,0,31.25,0.446428571,0.446428571,0,4.017857143,0
17031350400,2.570694087,48.84318766,123.3933162,0,0,10.28277635,2.570694087,0,0,0,205.655527,0,0,0,48.84318766,0,5.141388175,84.83290488,15.42416452,0,0,10.28277635,12.85347044,0,2.570694087,0,7.712082262,149.1002571,0,35.98971722,5.141388175,2.570694087,0,12.85347044,0
17031380100,0,12.99376299,27.54677755,0,0,8.316008316,2.079002079,0,0,0,29.10602911,0,0,0,31.18503119,2.079002079,1.559251559,16.11226611,6.756756757,0,0,0.51975052,7.796257796,0,0.51975052,0,0.51975052,4.677754678,0,14.55301455,0.51975052,0.51975052,0,3.638253638,0
17031550100,0,5.431502716,13.27700664,0.452625226,0,5.582377791,1.207000604,0,0,0,18.25588413,0,0,0,4.828002414,0,0.603500302,6.185878093,2.715751358,0,0,1.207000604,1.056125528,0,0.150875075,0,0.452625226,2.715751358,0,15.54013277,0.150875075,0.150875075,0,3.017501509,0
17031620400,0,2.500961908,6.733358984,0,0,5.194305502,0.961908426,0,0,0,9.234320893,0,0,0.577145056,4.617160446,0,0.769526741,2.308580223,3.270488649,0,0,0.384763371,1.539053482,0,0.192381685,0,0.192381685,0.961908426,0,9.041939207,0.577145056,0.192381685,0,2.116198538,0
